Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down,spotify:album:5gO2acKSOaJnP0Mcy8IpU6,The Better Life,spotify:artist:2RTUTCvo6onsAnheUk3aL9,3 Doors Down,2000,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1,1,1,233933,https://p.scdn.co/mp3-preview/8eea4101791149dfe71f9cc5e2b4606b9e29bada?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:piano_l0rd,2020-04-27T18:49:47Z
spotify:track:40hgbG1iX08Apyy0FesR7p,Kung Fu Fighting,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,Carl Douglas,spotify:album:02rPed1mPkw2OtFpj6g4uV,The Soul of the Kung Fu Fighter,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,Carl Douglas,2001,https://i.scdn.co/image/ab67616d0000b273fa05dcf511ab91a8446f50e9,1,1,197693,,FALSE,0,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:5BXj1QDRU77J1ngVavG1tI,Kyrie - Single Version,spotify:artist:7Bah8E0kCETqEpAHI6CPzQ,Mr. Mister,spotify:album:0qCccU99b8JabM1xPpWJKh,The Best of Mr. Mister,spotify:artist:7Bah8E0kCETqEpAHI6CPzQ,Mr. Mister,4/17/2001,https://i.scdn.co/image/ab67616d0000b27346859b1ff4f5f8f59af4d364,1,7,256959,https://p.scdn.co/mp3-preview/9841f7b4fbe24a697cc33aedde349e124ac4517e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,spotify:user:piano_l0rd,2020-04-27T18:49:47Z
spotify:track:4ClGNWLK9vZMBtO0CpnyOE,Land of Confusion,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,Disturbed,spotify:album:0Te7OvzuUMnbsqCneIDUm6,Ten Thousand Fists,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,Disturbed,9/19/2005,https://i.scdn.co/image/ab67616d0000b273bbdafec608fc5329ec2ad831,1,11,287066,https://p.scdn.co/mp3-preview/f4a6bee3ca3238b7b017864053f7ec4853279afa?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:piano_l0rd,2020-04-27T18:53:24Z
spotify:track:2kkvB3RNRzwjFdGhaUA0tz,Layla,spotify:artist:2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,spotify:album:5iIWnMgvSM8uEBwXKsPcXM,Layla And Other Assorted Love Songs (Remastered 2010),spotify:artist:2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,11/1/1970,https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc,1,13,423840,https://p.scdn.co/mp3-preview/2ac19b13231acf3242c44f3c49cd2fbb6269169b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,spotify:user:piano_l0rd,2020-04-27T18:50:46Z
spotify:track:3BEZCNZSmVv30vsMNSOCri,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",spotify:artist:6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,spotify:album:3ebyEGol0Abc7VAxYf7vEg,Unplugged (Deluxe Edition),spotify:artist:6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,8/25/1992,https://i.scdn.co/image/ab67616d0000b273d55ec7fcfacd95e73877b787,1,7,289026,https://p.scdn.co/mp3-preview/68b6cd6c54e13e5b959f32e7952437b4680f377d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,spotify:user:piano_l0rd,2021-01-24T02:57:43Z
spotify:track:1qE47wUKG2juJwPoLqg4C9,Lean On (feat. MØ & DJ Snake),"spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:0bdfiayQAKewqEvaU6rXCv, spotify:artist:540vIaP2JwjQb9dm3aArA4","Major Lazer, MØ, DJ Snake",spotify:album:4b6Si351g8brcy6TtHFn13,Peace Is The Mission,spotify:artist:738wLrAtLtCtFOLvQBXOXp,Major Lazer,6/1/2015,https://i.scdn.co/image/ab67616d0000b273472c58102c67fd247d7707b6,1,4,176561,https://p.scdn.co/mp3-preview/554f717643d8609879a39f0605383d39f60e9484?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:50MzABA1g2Ks2KWRA09TOe,Learning To Fly - 2011 Remastered Version,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,spotify:album:1tWgv9v78StWukBRBVNyxA,A Momentary Lapse Of Reason (2011 Remastered Version),spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,9/7/1987,https://i.scdn.co/image/ab67616d0000b273e56b1ba06c4e0871e5ec5f83,1,2,292080,https://p.scdn.co/mp3-preview/c588d1a3fcd3b2888442e5096e72451f3c3ff0f3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:piano_l0rd,2021-12-01T22:42:32Z
spotify:track:7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0jTGHV5xqHPvEcwL8f6YU5,Let It Be (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,5/8/1970,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,1,6,243026,https://p.scdn.co/mp3-preview/7ace89446f27b12a19c85a86660fb518014046a4?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,80,spotify:user:piano_l0rd,2020-04-27T18:50:46Z
spotify:track:7mGjaKYVo3dDs5B5wO0jB3,Let It Rock,spotify:artist:0Chxmm4XMM87mJOHvyiUzL,Kevin Rudolf,spotify:album:67kCyHOuZYH0XntGYpdwTF,Let It Rock,spotify:artist:0Chxmm4XMM87mJOHvyiUzL,Kevin Rudolf,2008,https://i.scdn.co/image/ab67616d0000b273e87ddec80814d3f048211f67,1,1,181186,https://p.scdn.co/mp3-preview/a666bc9002280bef5931e9c05d85c7ecc84d6c0a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,spotify:user:piano_l0rd,2022-01-09T09:44:51Z
spotify:track:0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"spotify:artist:540vIaP2JwjQb9dm3aArA4, spotify:artist:1uNFoZAHBGtllmzznpCI3s","DJ Snake, Justin Bieber",spotify:album:02sEJTj1sye1JaqxqpcSCp,Encore,spotify:artist:540vIaP2JwjQb9dm3aArA4,DJ Snake,8/5/2016,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,1,13,205946,https://p.scdn.co/mp3-preview/14c09eb311962562e828fb8355bd92a16f358a77?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,85,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:7jIFGkTBIK1UwWaEXMW2Nh,Life Is A Highway,spotify:artist:5Jj4mqGYiplyowPLKkJLHt,Tom Cochrane,spotify:album:1Jn0dHH6ztd0CD7lstrIR8,Mad Mad World (Deluxe),spotify:artist:5Jj4mqGYiplyowPLKkJLHt,Tom Cochrane,9/19/1991,https://i.scdn.co/image/ab67616d0000b273e0e79290082e9cee5ebdbaca,1,1,266080,https://p.scdn.co/mp3-preview/c4f00e98f5c8854bd155aa235cb46e639dfcfa89?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,spotify:user:piano_l0rd,2021-03-28T18:12:47Z
spotify:track:48iWbsOaBUAGzMdoSmqyg1,Lightning Crashes,spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,Live,spotify:album:4ZsG3ifn9sIcrFT1ecw0gF,Throwing Copper,spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,Live,1/1/1994,https://i.scdn.co/image/ab67616d0000b27323d8d82a798baa960fdb5070,1,5,325600,https://p.scdn.co/mp3-preview/643f75a675aaafa869cdeb28bdf847dbf6e067b9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,spotify:user:piano_l0rd,2020-04-27T18:53:24Z
spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,"spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE","Far East Movement, The Cataracs, DEV",spotify:album:1TuKgkCGIxiIns9Bc5XKRC,Free Wired,spotify:artist:698hF4vcwHwPy8ltmXermq,Far East Movement,1/1/2010,https://i.scdn.co/image/ab67616d0000b27358b08d62231dfca8d358b876,1,2,216893,https://p.scdn.co/mp3-preview/9fd4082a1f185934d763c6cba4500785ae0e71a1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:1s5S7zK5Loc0gwazO3X3ZT,Line In The Dust,spotify:artist:2iM28IgKg89v1o7BTQAVPo,Bruce Hornsby,spotify:album:5jGSxCZORjzjsRnCY2gHqu,Bride Of The Noisemakers,spotify:artist:2iM28IgKg89v1o7BTQAVPo,Bruce Hornsby,1/1/2011,https://i.scdn.co/image/ab67616d0000b273320f32627a3a05a95a85987a,2,2,343586,,FALSE,0,spotify:user:piano_l0rd,2020-04-27T18:49:47Z
spotify:track:1qIKynV6YQZgocodkPdCy7,Listen To Your Heart,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,Roxette,spotify:album:487Xg1a57O6pDfkyYcbuFx,Look Sharp!,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,Roxette,10/19/1988,https://i.scdn.co/image/ab67616d0000b273df5802b1cc1533f54255e2d1,1,13,328093,https://p.scdn.co/mp3-preview/46ea01736d4c14b4d9f2692058a3ded7e0977cc3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:piano_l0rd,2020-05-31T08:09:27Z
spotify:track:08o75xMKmGrKny6GsXrNJW,Little Lies,spotify:artist:08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,spotify:album:0LfM3PGkXE6KvJEE1HkOnz,Greatest Hits,spotify:artist:08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,11/21/1988,https://i.scdn.co/image/ab67616d0000b273813da91820fd194cbee5bdce,1,12,218040,https://p.scdn.co/mp3-preview/d5afe6b18bab5513389c8c3ebf806499b3d6dba5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:1Eolhana7nKHYpcYpdVcT5,Little Wing,spotify:artist:776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,spotify:album:3uFZf8rykoHo7XMIQVYW6r,Axis: Bold As Love,spotify:artist:776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,12/1/1967,https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2,1,6,145746,https://p.scdn.co/mp3-preview/91c9fa6268ba55f5cb58201131ce06888eec4f51?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,spotify:user:piano_l0rd,2020-04-27T18:48:28Z
spotify:track:3X7abqSXC4xrxuC1ykpWcY,Livin' On A Prayer,spotify:artist:58lV9VcRSjABbAbfWS6skp,Bon Jovi,spotify:album:3Ad4QdO0EJr1c2livr9cmm,Bon Jovi Greatest Hits,spotify:artist:58lV9VcRSjABbAbfWS6skp,Bon Jovi,1/1/2010,https://i.scdn.co/image/ab67616d0000b273f0d41275363a36b5772b49b2,1,1,250626,,FALSE,0,spotify:user:piano_l0rd,2020-04-27T18:49:47Z
spotify:track:3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,spotify:album:58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,spotify:artist:0du5cEVh5yTK9QJze8zA0C,Bruno Mars,12/7/2012,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,1,2,233478,https://p.scdn.co/mp3-preview/4b3bedd0366b3ebe72a20ece0d596fac196a5b3f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,89,spotify:user:piano_l0rd,2020-04-27T18:53:24Z
spotify:track:28eg5bkYvIHT7HPmzZFwLN,Lonely Is The Night - Remastered,spotify:artist:3Fz2GbraVXhcpXnoi2Oe1r,Billy Squier,spotify:album:6TwlLNU5Zd9qGuNgSLeWPt,Don't Say No,spotify:artist:3Fz2GbraVXhcpXnoi2Oe1r,Billy Squier,1981,https://i.scdn.co/image/ab67616d0000b273f4822f8034e697410a14a297,1,6,281453,https://p.scdn.co/mp3-preview/eda6c1a869d50b89da0a65266099675d68d9c4d5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,spotify:user:piano_l0rd,2021-03-30T02:27:36Z
spotify:track:77Ft1RJngppZlq59B6uP0z,Lose Yourself,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,spotify:album:6wdSf72duVewXTqhYU3Z87,SHADYXV,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,11/24/2014,https://i.scdn.co/image/ab67616d0000b27331aafa752187cb0284307200,2,3,320626,https://p.scdn.co/mp3-preview/150496718f9728eb329bb3a348028d56fcbea85c?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,75,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
